Jumlah_ART;Jumlah_Keluarga;sta_bangunan;sta_lahan;luas_lantai;lantai;dinding;kondisi_dinding;atap;kondisi_atap;jumlah_kamar;sumber_airminum;cara_peroleh_airminum;sumber_penerangan;daya;bb_masak;fasbab;kloset;buang_tinja;ada_tabung_gas;ada_lemari_es;ada_ac;ada_pemanas;ada_telepon;ada_tv;ada_emas;ada_laptop;ada_sepeda;ada_motor;ada_mobil;ada_perahu;ada_motor_tempel;ada_perahu_motor;ada_kapal;aset_tak_bergerak;luas_atb;rumah_lain;jumlah_sapi;jumlah_kerbau;jumlah_kambing;sta_art_usaha;desil_susenas
4;1;Milik Sendiri;Milik Sendiri;60;Keramik;Plesteran Anyaman Bambu/Kawat;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas > Gas 3 Kg Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;0;Tidak Ada;0;0;0;Ada;Tidak Menerima Bantuan
5;1;Milik Sendiri;Milik Sendiri;42;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;121;Tidak Ada;0;0;0;Ada;Menerima Bantuan
5;1;Milik Sendiri;Milik Sendiri;60;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Ada;Tidak Ada;Ada;Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;1000;Tidak Ada;0;0;0;Ada;Tidak Menerima Bantuan
6;2;Milik Sendiri;Milik Sendiri;75;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Bagus/Kualitas Tinggi;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;200;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
3;1;Milik Sendiri;Milik Sendiri;49;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Metal;Bagus/Kualitas Tinggi;2;Sumur Bor/Pompa;Tidak Membeli;Listrik PLN;450 Watt;Gas > Gas 3 Kg Kg;Sendiri;Plengsengan;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;49;Tidak Ada;0;0;0;Ada;Tidak Menerima Bantuan
5;1;Milik Sendiri;Milik Sendiri;100;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;100;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;54;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;54;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
3;1;Milik Sendiri;Milik Sendiri;75;Semen/Bata Merah;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas > Gas 3 Kg Kg;Sendiri;Cemplung/Cubluk;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;75;Tidak Ada;0;0;0;Tidak Ada;Tidak Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;60;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;60;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
4;1;Kontrak/Sewa;Milik Orang Lain;30;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;0;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;54;Keramik;Plesteran Anyaman Bambu/Kawat;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;54;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;64;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Pantai/Tanah Lapang/Kebun;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;64;Tidak Ada;0;0;0;Tidak Ada;Tidak Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;100;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Bagus/Kualitas Tinggi;2;Air Isi Ulang;Membeli Eceran;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;100;Ada;0;0;0;0;Tidak Menerima Bantuan
3;1;Bebas Sewa;Milik Orang Lain;60;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;0;Tidak Ada;0;0;0;0;Tidak Menerima Bantuan
5;1;Milik Sendiri;Milik Sendiri;70;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Bagus/Kualitas Tinggi;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;130;Tidak Ada;0;0;0;0;Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;45;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;SPAL;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;0;Tidak Ada;0;0;0;0;Menerima Bantuan
3;1;Milik Sendiri;Milik Sendiri;100;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Pantai/Tanah Lapang/Kebun;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;1700;Tidak Ada;0;0;0;Ada;Tidak Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;60;Ubin/Tegel/Teraso;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas > Gas 3 Kg Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;0;Tidak Ada;0;0;0;Ada;Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;38;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Bagus/Kualitas Tinggi;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Bersama;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;137;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
5;1;Milik Sendiri;Milik Sendiri;70;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Ada;Tidak Ada;Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;70;Ada;0;0;0;Ada;Tidak Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;42;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;42;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
2;1;Milik Sendiri;Milik Sendiri;48;Ubin/Tegel/Teraso;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;SPAL;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Ada;72;Tidak Ada;0;0;0;Tidak Ada;Tidak Menerima Bantuan
