Jumlah_ART,Jumlah_Keluarga,sta_bangunan,sta_lahan,luas_lantai,lantai,dinding,kondisi_dinding,atap,kondisi_atap,jumlah_kamar,sumber_airminum,cara_peroleh_airminum,sumber_penerangan,daya,bb_masak,fasbab,kloset,buang_tinja,ada_tabung_gas,ada_lemari_es,ada_ac,ada_pemanas,ada_telepon,ada_tv,ada_emas,ada_laptop,ada_sepeda,ada_motor,ada_mobil,ada_perahu,ada_motor_tempel,ada_perahu_motor,ada_kapal,aset_tak_bergerak,luas_atb,rumah_lain,jumlah_sapi,jumlah_kerbau,jumlah_kambing,sta_art_usaha,desil_susenas
3,1,1,1,45,2,1,2,5,2,2,6,4,1,4,4,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1351,1,0,0,0,1,0
2,1,1,1,45,2,1,2,5,2,2,1,4,1,4,4,3,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,67,1,0,0,0,1,0
3,1,1,1,45,3,1,1,5,2,2,8,4,1,4,4,4,1,3,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,2000,1,0,0,0,1,0
3,1,1,1,38,3,1,2,5,2,2,1,4,1,4,4,1,0,5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
3,1,1,2,40,3,1,2,5,2,2,8,4,1,4,4,4,1,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,5000,1,0,0,0,1,0
4,1,1,1,40,3,1,1,5,1,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,4000,1,0,0,0,1,1
2,1,1,1,68,3,1,1,5,1,3,6,4,1,4,4,4,1,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2600,1,0,0,0,1,0
5,1,1,1,54,3,1,1,5,1,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,2000,1,0,0,0,1,1
4,1,1,1,35,3,1,2,5,2,3,8,4,1,4,4,4,1,3,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,2000,1,0,0,0,1,1
4,1,1,1,50,3,1,1,5,2,3,9,4,1,4,4,1,4,6,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,75,1,0,0,0,0,0
4,1,1,1,35,3,1,1,5,1,2,6,4,1,4,3,4,1,2,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,800,1,0,0,0,1,1
2,1,1,1,60,3,1,1,5,1,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,16000,1,0,0,0,1,0
2,1,1,1,35,3,1,2,5,2,2,6,4,1,4,3,4,1,2,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,35,1,0,0,0,1,0
5,1,1,1,45,3,1,1,5,1,1,6,4,1,4,3,4,1,2,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,200,1,0,0,0,1,1
4,1,1,2,60,8,2,0,9,0,1,6,4,1,4,4,2,1,3,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,90,1,0,0,0,1,1
2,1,1,1,45,8,2,0,5,2,3,6,4,1,4,4,1,4,5,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,45,1,0,0,0,1,0
2,1,1,2,35,8,2,0,9,0,1,9,4,1,4,4,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,0,0,0,0
4,1,1,2,35,6,1,2,5,2,2,9,4,1,4,4,1,0,5,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
